A,B,C,D,D,E,F,G,H,I,J
a0,"2,121",102,555,166,446,10,26,74,732,10
a1,262,92,10,62,24,0,29,45,0,0
a2,"25,939","12,369","2,060","4,177","4,229","1,274",209,"1,024",597,0
a3,114,7,20,10,45,0,10,2,20,0
a4,938,177,70,127,168,70,0,316,10,0
a5,"21,909","2,005","2,639","4,027","11,780",376,139,675,248,20
a6,"5,235",978,498,557,"1,491",826,0,766,119,0
a7,"3,393",430,117,311,644,486,10,"1,278",117,0
a8,"6,266",796,538,70,"1,860","1,302",20,"1,590",90,0
a9,449,40,20,10,167,39,0,84,89,0
a10,400,61,39,5,119,28,0,75,73,0
a11,"1,906",99,244,100,"1,214",89,0,40,120,0
a12,"1,012",100,90,119,386,89,20,89,119,0
a13,"4,629",466,346,199,"2,557",487,60,365,149,0
a14,"1,588",84,196,99,673,119,0,180,237,0
a15,"1,763",120,110,50,736,418,10,50,269,0
a16,"2,355",69,159,10,"1,184",457,10,88,378,0
a17,672,60,40,10,239,60,10,64,189,0
18,"1,354",187,149,129,496,139,20,179,55,0
19,30,10,0,0,20,0,0,0,0,0
